date,close,high,low,open,quoteVolume,volume,weightedAverage
2016-07-28,1.525,0.33,1.0,0.33,4615.11091623,6574.53016587,1.42456601
2016-07-29,1.63004163,1.83999493,1.55000007,1.68013468,37985.45859261,63163.12870196,1.6628239
2016-07-30,1.58155738,1.7206249599999999,1.5500301300000001,1.63004169,16708.34230261,26824.29044815,1.60544295
2016-07-31,1.82999983,1.94999714,1.5500620600000001,1.5500620600000001,43806.2031214,78458.4575617,1.7910353300000001
2016-08-01,2.38102408,2.39,1.7700354200000001,1.82999635,147305.05801136,315454.9076839,2.14150764
2016-08-02,2.70000006,3.5000062,2.15,2.33600229,783407.50865921,2191642.5268444,2.79757661
2016-08-03,2.69898992,3.38,2.35999999,2.70000001,443832.27201783,1232620.7566528,2.77722201
2016-08-04,2.36,2.79999995,2.10000003,2.58999957,175347.00956517,428554.50334759,2.44403656
2016-08-05,2.58000537,2.67999987,2.27722773,2.37999839,70058.07114329,175256.37685876,2.50158724
2016-08-06,2.6769818499999998,2.847,2.53807354,2.58999999,87759.42761872,234597.35501974,2.67318693
2016-08-07,2.17,2.7438948,2.1015,2.68,158023.01028506,364136.61196387,2.30432651
2016-08-08,2.1999999,2.43510749,2.04747706,2.2019699,74336.94105387,161796.58082381,2.17652997
2016-08-09,1.986,2.25886562,1.8297115499999999,2.19999989,181837.780799,364804.71966813,2.0062097
2016-08-10,1.71,2.1109,1.64900001,2.00686997,141020.64123761,260729.31558428,1.8488734199999999
2016-08-11,1.87498159,1.99,1.5,1.73899992,159940.19835911,285962.32472169,1.78793278
2016-08-12,1.8599999999999999,2.09999997,1.80000125,1.8749773200000002,162597.03357233,319331.8690171,1.96394646
2016-08-13,1.8789999800000001,1.9455524899999999,1.81633664,1.86612431,20259.88480144,38043.6667893,1.8777829700000002
2016-08-14,1.9199244,1.97999774,1.86960498,1.86960498,63374.16106848,122691.70935326,1.93598948
2016-08-15,1.8678868400000002,2.02675948,1.828,1.9170000200000001,86752.65315804,166685.27241026,1.92138529
2016-08-16,1.8511000000000002,1.8899999900000002,1.7894983899999999,1.83800322,23843.38052605,43839.91272767,1.83866179
2016-08-17,1.7300017699999999,1.87899991,1.7000000000000002,1.86488754,35297.96315526,62305.6304973,1.76513387
2016-08-18,1.6770467500000001,1.7899984,1.66333333,1.74999767,32064.28869539,54906.88400174,1.71239987
2016-08-19,1.7600135,1.8217272800000002,1.6,1.6826975800000001,73523.04369804,123664.88892202,1.68198815
2016-08-20,1.75,1.77830238,1.67079071,1.77830238,20417.58439684,34999.03929151,1.7141616
2016-08-21,1.72795152,1.7798289999999999,1.70000163,1.76,10115.2662925,17575.01440586,1.73747421
2016-08-22,1.62146871,1.7439223799999999,1.61075762,1.7310125699999999,42724.10104844,72051.49110434,1.68643667
2016-08-23,1.60023482,1.69703748,1.55700005,1.69,59726.61117091,95936.54793871,1.60626136
2016-08-24,1.449,1.64980687,1.449,1.60023413,25298.16614314,37936.02340999,1.49955626
2016-08-25,1.37,1.449,1.2560048400000001,1.449,45787.47211593,62703.88100902,1.36945496
2016-08-26,1.43420867,1.4867198,1.31000067,1.36005882,30569.46133899,42549.46581837,1.3918945200000001
2016-08-27,1.34500906,1.46,1.34000856,1.43421514,18141.38450177,25561.99330382,1.4090431300000001
2016-08-28,1.31100102,1.3669935500000001,1.28000026,1.34500901,46284.02301789,60832.732835,1.3143354600000001
