date,close,high,low,open,quoteVolume,volume,weightedAverage
2016-10-04,7.93820963,0.33,6.60000951,0.33,2430.68157344,20341.17847055,8.36850811
2016-10-05,8.99886414,11.0,7.7012523900000005,7.82388484,9508.543056,91702.79386112,9.64425289
2016-10-06,7.1,9.38498575,6.18932573,8.99885202,6232.84743528,45451.48796782,7.292251
2016-10-07,6.72,8.48999335,6.50055313,7.1,6800.05702537,48475.94518459,7.12875568
2016-10-08,6.72623902,7.25856838,6.03994971,6.82991077,2492.83039818,16806.79537909,6.74205328
2016-10-09,7.15983114,7.74559982,6.40450752,6.98986421,3744.38470724,26024.19948739,6.95019382
2016-10-10,6.57232499,7.5399993,6.57232499,7.03609456,1459.65154932,10382.4812473,7.11298614
2016-10-11,5.81001247,6.70999849,5.69532398,6.70116607,9677.64305687,58617.0089563,6.05695091
2016-10-12,5.97999405,6.0,5.51292247,5.8,2104.09383491,11819.98296815,5.61761209
2016-10-13,6.02,6.58999969,5.55919712,5.95981937,3515.50268801,21954.0120179,6.2449140100000005
2016-10-14,5.86179448,6.23608295,5.55002582,6.00002149,1894.05076669,10857.31715311,5.73232636
2016-10-15,5.80414201,5.94158356,5.51292248,5.86160129,695.5480869,3896.17804359,5.60159407
2016-10-16,5.7034724,5.87465178,5.70347233,5.80000001,272.33985705,1564.34987036,5.74410917
2016-10-17,5.02141362,5.79059997,4.49,5.79059995,1474.86517842,7871.68749591,5.33722513
2016-10-18,5.38026441,5.74,4.9979803700000005,5.088931,2077.73827456,11173.71265598,5.37782491
2016-10-19,5.19236778,5.468785,4.73788247,5.39151678,882.12126258,4686.39899658,5.31264713
2016-10-20,5.19999778,5.30501959,5.05418367,5.24649534,199.8862513,1051.58931,5.26093867
2016-10-21,5.49398368,5.55607225,5.2,5.2,201.87223424,1073.84118731,5.31941002
2016-10-22,5.3655835,5.46448917,5.2,5.46441425,345.82418691,1833.42789714,5.30161847
2016-10-23,5.29098502,5.45,5.29098502,5.35260118,411.48346736,2220.2055578,5.39561302
2016-10-24,5.20435349,5.33346537,5.06518984,5.28870759,375.97846391,1932.18716968,5.13909001
2016-10-25,4.5500000400000005,5.1881416,4.55,5.12424432,1585.84891917,7637.88886549,4.81627775
2016-10-26,5.04065835,5.27219534,4.73782268,4.88329199,2121.94046943,10675.21486686,5.03087387
2016-10-27,4.99124953,5.3,4.97005007,5.04534295,4521.63627623,23499.16824316,5.19704965
2016-10-28,4.49215848,5.01893476,4.44097612,4.99859081,2376.62186192,11413.69166712,4.8024853400000005
2016-10-29,4.0,4.96795391,3.5500073199999997,4.48731354,3713.56738362,15482.50508648,4.16917305
2016-10-30,4.60023944,4.94999989,4.19735726,4.19735726,2737.34923421,12079.28070375,4.41276566
2016-10-31,4.47491464,4.69831583,4.31615228,4.69831583,3770.51190107,16469.23690671,4.36790476
